title,X,author,journal,keywords,extra.keywords,abstract,publisher,pubdate,pubyear,doi,affil,affil2,doi_methods
"A novel mobile approach to investigating mating tactics in male grey
seals (Halichoerus grypus)",11603,"Lidgard, DC
Boness, DJ
Bowen, WD",J ZOOL,"HARBOR SEAL; REPRODUCTIVE-BEHAVIOR; MATERNAL INVESTMENT; DIVING
BEHAVIOR; NORTH RONA; SUCCESS; ENERGETICS; DOMINANCE; SIZE; AGE","Halichoerus grypus; mating systems; alternative mating tactics;
reproductive ecology","Studies of the grey seal Halichoerus grypus mating system, using focal animal sampling constrained by study site location and size, limit the measurement of variation in male mating tactics and success. Using this method, the mating tactics of grey seal males have been classified as either 'tenured' or 'transient'. Preliminary evidence is presented of wider variation in male mating tactics and success using mobile focal-animal techniques that are not constrained by site, and of the effects of age on behaviour when accounting for body mass. The study was conducted during the breeding seasons of 1997 and 1998 at Sable Island, Nova Scotia. Six young (11-12 years) and five old (20-25 years) males were captured at the beginning of the breeding season, weighed and fitted with a VHF transmitter and time-depth recorder. Each male was located daily, and a count or late-lactating females within a 10 m radius recorded as a measure of mating potential. Female guarding and observed copulatory attempts were used as a measure of mating success. Mean initial body mass of young males and old males was similar, 291 +/- 13 kg and 298 +/- 14 kg, respectively. All males changed location during the study period. Young males changed sites more often and moved shorter distances between sites than old males. Estimated mating success varied from probably no matings to a minimum of seven; there were no differences between young and old males. Maximum duration of stay at a site and the number of late-lactating females at a site significantly influenced mating success. All the males except for two young males departed on diving excursions during the breeding season and engaged in deep diving behaviour. Diving behaviour did not differ between the age classes. Our results indicate that the current classification of mating tactics in grey seal males is an oversimplification. Preliminary data show that age may account for some of the variation in male behaviour on land and mating success, but not for behaviour at sea.",CAMBRIDGE UNIV PRESS,NOV,2001,101017S0952836901001418,"Smithsonian Inst, Conservat & Res Ctr, Dept Conservat Biol, Washington, DC 20008 USA./Bedford Inst Oceanog, Dept Fisheries & Oceans, Marine Fish Div, Dartmouth, NS B2Y 4A2, Canada.","Lidgard, DC (reprint author), Smithsonian Inst, Conservat & Res Ctr, Dept Conservat Biol, Washington, DC 20008 USA.",NA
"A Novel Model-Based Driving Behavior Recognition System Using Motion
Sensors",2823,"Wu, Minglin
Zhang, Sheng
Dong, Yuhan",SENSORS-BASEL,NA,"driving behavior recognition; physical model; data change rule; motion
sensors; Kalman filter; adaptive time window; classification","In this article, a novel driving behavior recognition system based on a specific physical model and motion sensory data is developed to promote traffic safety. Based on the theory of rigid body kinematics, we build a specific physical model to reveal the data change rule during the vehicle moving process. In this work, we adopt a nine-axis motion sensor including a three-axis accelerometer, a three-axis gyroscope and a three-axis magnetometer, and apply a Kalman filter for noise elimination and an adaptive time window for data extraction. Based on the feature extraction guided by the built physical model, various classifiers are accomplished to recognize different driving behaviors. Leveraging the system, normal driving behaviors (such as accelerating, braking, lane changing and turning with caution) and aggressive driving behaviors (such as accelerating, braking, lane changing and turning with a sudden) can be classified with a high accuracy of 93.25%. Compared with traditional driving behavior recognition methods using machine learning only, the proposed system possesses a solid theoretical basis, performs better and has good prospects.",MDPI,OCT,2016,103390s16101746,"[Wu, Minglin; Zhang, Sheng; Dong, Yuhan] Tsinghua Univ, Grad Sch Shenzhen, Adv Sensor & Integrated Syst Lab, Shenzhen 518055, Peoples R China.","Zhang, S (reprint author), Tsinghua Univ, Grad Sch Shenzhen, Adv Sensor & Integrated Syst Lab, Shenzhen 518055, Peoples R China.",5087531
"A novel nest-monitoring camera system using a Raspberry Pi
micro-computer",2666,"Prinz, Anna C. B.
Taank, Vikas K.
Voegeli, Vincent
Walters, Eric L.",J FIELD ORNITHOL,BREEDING ACORN WOODPECKER,"Acorn Woodpeckers; cavity cameras; monitoring; nest monitoring; Pi NoIR;
video","The utility, availability, cost-effectiveness, and reliability of prefabricated video systems designed to monitor wildlife have lagged behind the unique and varied needs of many researchers. Many systems are limited by inflexible video settings, lack of adequate data storage, and cannot be programmed by the user. More sophisticated systems can be cost prohibitive, and the literature describing remote wildlife video monitoring has, for the most part, not incorporated advances in camera and computer technology. Here, we present details of a pilot study to design and construct a lower cost (US $340) nest camera system to record the behavior of Acorn Woodpeckers (Melanerpes formicivorus) in artificial tree cavity nests. This system incorporates a Raspberry Pi micro-computer, Pi NoIR infrared camera, a wireless adapter to transmit video over the Internet, and Deka rechargeable gel batteries for power. We programmed the system to motion-sense, to record exclusively during daylight hours, and to automatically upload videos to the cloud over wireless Internet. The Raspberry Pi micro-computer does not require advanced programming or electrical engineering skills to build and configure and, because it is programmable, provides unprecedented flexibility for field researchers who wish to configure the system to the specific needs of their study.",WILEY-BLACKWELL,DEC,2016,101111jofo12182,"[Prinz, Anna C. B.; Taank, Vikas K.; Walters, Eric L.] Old Dominion Univ, Dept Biol Sci, Norfolk, VA 23529 USA./[Voegeli, Vincent] Hastings Nat Hist Reservat, 38601 East Carmel Valley Rd, Carmel Valley, CA 93924 USA.","Walters, EL (reprint author), Old Dominion Univ, Dept Biol Sci, Norfolk, VA 23529 USA.",NA
"A Novel Popular Tourist Attraction Discovering Approach Based on
Geo-Tagged Social Media Big Data",1880,"Peng, Xia
Huang, Zhou",ISPRS INT J GEO-INF,PHOTOS,"social media; geographical big data; tourist attraction; popularity
analysis","In the big data era, the social media data that contain users' geographical locations are growing explosively. These kinds of spatiotemporal data provide a new perspective for us to observe the human movement behavior. By mining such spatiotemporal data, we can incorporate the users' collective wisdom, build novel services and bring convenience to people. Through spatial clustering of the original user locations, both the 'natural' boundaries and the human activity information of the tourist attractions are generated, which facilitate performing popularity analysis of tourist attractions and extracting the travelers' spatio-temporal patterns or travel laws. On the one hand, the potential extracted knowledge could provide decision supports to the tourism management department in both tourism planning and resource development; on the other hand, the travel preferences are able to be extracted from the clustering-generated attractions, and thus, intelligent tourism recommendation services could be developed for the tourist to promote the realization of 'smart tourism'. Hence, this paper proposes a new method for discovering popular tourist attractions, which extracts hotspots through integrating spatial clustering and text mining approaches. We carry out tourist attraction discovery experiments based on the Flickr geotagged images within the urban area of Beijing from 2005 to 2016. The results show that compared with the traditional DBSCAN method, this novel approach can distinguish adjacent high-density areas when discovering popular tourist attractions and has better adaptability in the case of an uneven density distribution. In addition, based on the finding results of scenic hotspots, this paper analyzes the popularity distribution laws of Beijing's tourist attractions under different temporal and weather contexts.",MDPI AG,JUL,2017,103390ijgi6070216,"[Peng, Xia] Beijing Union Univ, Collaborat Innovat Ctr eTourism, Inst Tourism, Beijing 100096, Peoples R China./[Peng, Xia] Chinese Acad Sci, State Key Lab Resources & Environm Informat Syst, Inst Geog Sci & Nat Resources Res, Beijing 100101, Peoples R China./[Huang, Zhou] Peking Univ, Inst Remote Sensing & GIS, Beijing 100080, Peoples R China.","Huang, Z (reprint author), Peking Univ, Inst Remote Sensing & GIS, Beijing 100080, Peoples R China.",NA
"A novel strategy to escape a poor habitat: red-necked grebes transfer
flightless young to other ponds",1961,"Kloskowski, Janusz
Fraczek, Karolina",ACTA ETHOL,MOVEMENTS; BEHAVIOR; BIRDS,Brood movement; Habitat selection; Innovative behaviour; Risk taking,"Animals confronted with the threat of the death of their offspring may exhibit unusual and risk-prone behaviours. Grebes (Podicipediformes) are water birds which cannot effectively walk, thus unfledged young are assumed to be unable to depart from their natal ponds by land. We provide evidence that red-necked grebes Podiceps grisegena, breeding on ponds with scarce food resources, transferred their flightless young (2-4 weeks old) to other, unconnected ponds by land or air. Although a large proportion of breeding grebes in the study area nested on food-poor fish ponds acting as ecological traps, where they suffered significant brood losses, brood movements to new ponds accounted for only 3.3% of such breeding attempts. The infrequency of this strategy may be explained by the lack of suitable territories in close proximity and the high risk of predation or fatal injury. The means of chick transfer remains unclear; the chicks may have followed or been carried by parents shuffling across the pond levees; alternatively, parents may have carried the young on their backs in flight. Our findings indicate that red-necked grebes assess the current level of resources available for chicks and may adopt novel and risky strategies to escape total brood failure.",SPRINGER HEIDELBERG,JUN,2017,101007s1021101702547,"[Kloskowski, Janusz] Poznan Univ Life Sci, Inst Zool, Wojska Polskiego 71C, PL-60625 Poznan, Poland./[Fraczek, Karolina] Maria Curie Skodowska Univ, Nat Conservat Dept, Inst Biol, Akad 19, PL-20033 Lublin, Poland./[Fraczek, Karolina] Urzedowska 252, Krasnik, Poland.","Kloskowski, J (reprint author), Poznan Univ Life Sci, Inst Zool, Wojska Polskiego 71C, PL-60625 Poznan, Poland.",10_1007_s10211_017_0254_7
A Novel Task for the Investigation of Action Acquisition,7137,"Stafford, Tom
Thirkettle, Martin
Walton, Tom
Vautrelle, Nicolas
Hetherington, Len
Port, Michael
Gurney, Kevin
Redgrave, Pete",PLOS ONE,"DELAYED REINFORCEMENT; RESPONSE ACQUISITION; MOTOR DEVELOPMENT;
VARIABILITY; OPERANT; IMMEDIATE; MOVEMENTS; BEHAVIOR",NA,"We present a behavioural task designed for the investigation of how novel instrumental actions are discovered and learnt. The task consists of free movement with a manipulandum, during which the full range of possible movements can be explored by the participant and recorded. A subset of these movements, the 'target', is set to trigger a reinforcing signal. The task is to discover what movements of the manipulandum evoke the reinforcement signal. Targets can be defined in spatial, temporal, or kinematic terms, can be a combination of these aspects, or can represent the concatenation of actions into a larger gesture. The task allows the study of how the specific elements of behaviour which cause the reinforcing signal are identified, refined and stored by the participant. The task provides a paradigm where the exploratory motive drives learning and as such we view it as in the tradition of Thorndike [1]. Most importantly it allows for repeated measures, since when a novel action is acquired the criterion for triggering reinforcement can be changed requiring a new action to be discovered. Here, we present data using both humans and rats as subjects, showing that our task is easily scalable in difficulty, adaptable across species, and produces a rich set of behavioural measures offering new and valuable insight into the action learning process.",PUBLIC LIBRARY SCIENCE,JUN 4,2012,101371journalpone0037749,"[Stafford, Tom; Thirkettle, Martin; Walton, Tom; Vautrelle, Nicolas; Hetherington, Len; Port, Michael; Gurney, Kevin; Redgrave, Pete] Univ Sheffield, Dept Psychol, Sheffield S10 2TN, S Yorkshire, England.","Stafford, T (reprint author), Univ Sheffield, Dept Psychol, Sheffield S10 2TN, S Yorkshire, England.",10_1371_journal_pone_0037749
"A novel technique for measuring heart rate in a free swimming marine
vertebrate",9900,"Myers, Andrew E.
Hays, Graerne C.",J EXP MAR BIOL ECOL,"FREE-LIVING ANIMALS; DIVING BEHAVIOR; SEA-TURTLES; TEMPERATURE;
MOVEMENT; PENGUINS; INSIGHTS; FREQUENCY",heart rate; leatherback; penguin; seal; TDR; turtle; whale,"A mouth opening sensor incorporating a magnet and Hall sensor attached to a data logging unit was used to monitor the breathing and foraging behavior of a free-swimming leatherback sea turtle (Dermochelys coriacea). Analysis of these data revealed a rhythmic low amplitude oscillation. Further investigation of the frequency of this signal lead us to believe that the movements (<0.1 mm) are caused by the movement of blood through the nearby blood vessels. Putative heart rate decreased during dive descent and increased considerably during dive ascent reflecting the bradycardia and anticipatory tachycardia recorded by other means in other air-breathing divers. Oscillation frequencies were also comparable to the heart rate recorded in leatherbacks by means of implanted electrodes. We therefore propose that this device which was already known to reliably record behaviour such as breathing, feeding and buccal oscillations in sea turtles also has potential for recording other signals which cause movement on the external surface of an animal. (C) 2007 Elsevier B.V. All rights reserved.",ELSEVIER SCIENCE BV,SEP 28,2007,101016jjembe200704017,"Univ New Hampshire, Large Pelagics Res Ctr, Durham, NH 03824 USA./Univ Coll Swansea, Inst Environm Sustainabil, Swansea SA2 8PP, W Glam, Wales.","Myers, AE (reprint author), Univ New Hampshire, Large Pelagics Res Ctr, Durham, NH 03824 USA.",NA
A ONE-DIMENSIONAL MODEL OF TRAIL PROPAGATION BY ARMY ANTS,12577,"WATMOUGH, J
EDELSTEINKESHET, L",J MATH BIOL,ARGENTINE ANT; BEHAVIOR; PATTERN,"TRAVELING WAVES; QUALITATIVE ANALYSIS; TRAIL FORMATION CHEMICAL
COMMUNICATION; SELF-ORGANIZATION","We develop and analyze a model for the swarming behaviour observed in army ants. The model assumes that the ants coordinate their movements by using chemical pheromones as trail markers. The markers continuously evaporate, and are reinforced by new markers laid down by the ants as they move. The motion of the swarm is modelled by a system of partial differential equations (PDEs), The equations are derived from the motions of the individuals, but represent the collective motion of the group, and the formation and decay of the trail network. The PDEs have travelling wave solutions which correspond to the propagation of the leading edge of the swarm. We describe these solutions qualitatively, and use them to determine how both the shape and the speed of the swarm depend on the parameters describing the motion of the individual ants.",SPRINGER VERLAG,APR,1995,101007BF00163038,NA,"WATMOUGH, J (reprint author), UNIV BRITISH COLUMBIA,DEPT MATH,VANCOUVER,BC V6T 1Z2,CANADA.",NA
A parasite spatially structures its host population,11322,"Wellnitz, T
Giari, L
Maynard, B
Dezfuli, BS",OIKOS,"POMPHORHYNCHUS-LAEVIS ACANTHOCEPHALA; INTERMEDIATE HOST; ALTERED
BEHAVIOR; GAMMARUS-PULEX; RIVER BRENTA; RESPONSES; AMPHIPOD; PREDATION;
STAMMERI; DENSITY",NA,"Acanthocephalan parasites are capable of altering the behavior of their intermediate amphipod hosts by inducing hyperactivity and increasing downstream drift. We used a laboratory and field study to investigate how Echinogaininarus stammerii amphipods infected by the acanthocephalan Pomphorhychus laevis compensated for downstream displacement and responded to a fish extract predator cue. Experiments conducted in laboratory streams showed infected amphipods drifted more and compensated for drift less than non-infected individuals. When fish extract was added to the channels, non-infected individuals decreased their activity while infected individuals did not. A field study examined the up- and down-stream movements of a population of E. stammerii infected with P. laevis in the River Brenta, Italy. Drift by E. stammerii was positively influenced by acanthocephalan infection. Infected amphipods made up 40% of the drift but accounted for just 5% of the E. stammerii population. Infected individuals, however, were under-represented among upstream-moving amphipods collected from the main river channel and a near-shore migration column, comprising only 3% of sampled individuals. These data suggest that infected individuals may be effectively displaced downstream, creating a mechanism for spatial separation of the non-infected and infected sub-populations.",WILEY,FEB,2003,101034j16000706200312153x,"Colorado State Univ, Dept Biol, Ft Collins, CO 80523 USA./Univ Ferrara, Dipartimento Biol Evolut, IT-44100 Ferrara, Italy.","Wellnitz, T (reprint author), Colorado State Univ, Dept Biol, Ft Collins, CO 80523 USA.",NA
"A path reconstruction method integrating dead-reckoning and position
fixes applied to humpback whales",4876,"Wensveen, Paul J.
Thomas, Len
Miller, Patrick J. O.",MOV ECOL,NA,"Megaptera novaeangliae; Marine mammal; Positioning; Fine-scale movement;
State-space model; Bio-logging; Track reconstruction; Archival tag;
Focal follow","Background: Detailed information about animal location and movement is often crucial in studies of natural behaviour and how animals respond to anthropogenic activities. Dead-reckoning can be used to infer such detailed information, but without additional positional data this method results in uncertainty that grows with time. Combining dead-reckoning with new Fastloc-GPS technology should provide good opportunities for reconstructing georeferenced fine-scale tracks, and should be particularly useful for marine animals that spend most of their time under water.
We developed a computationally efficient, Bayesian state-space modelling technique to estimate humpback whale locations through time, integrating dead-reckoning using on-animal sensors with measurements of whale locations using on-animal Fastloc-GPS and visual observations. Positional observation models were based upon error measurements made during calibrations.
Results: High-resolution 3-dimensional movement tracks were produced for 13 whales using a simple process model in which errors caused by water current movements, non-location sensor errors, and other dead-reckoning errors were accumulated into a combined error term. Positional uncertainty quantified by the track reconstruction model was much greater for tracks with visual positions and few or no GPS positions, indicating a strong benefit to using Fastloc-GPS for track reconstruction. Compared to tracks derived only from position fixes, the inclusion of dead-reckoning data greatly improved the level of detail in the reconstructed tracks of humpback whales. Using cross-validation, a clear improvement in the predictability of out-of-set Fastloc-GPS data was observed compared to more conventional track reconstruction methods. Fastloc-GPS observation errors during calibrations were found to vary by number of GPS satellites received and by orthogonal dimension analysed; visual observation errors varied most by distance to the whale.
Conclusions: By systematically accounting for the observation errors in the position fixes, our model provides a quantitative estimate of location uncertainty that can be appropriately incorporated into analyses of animal movement. This generic method has potential application for a wide range of marine animal species and data recording systems.",BIOMED CENTRAL LTD,NA,2015,101186s4046201500616,"[Wensveen, Paul J.; Miller, Patrick J. O.] Univ St Andrews, Scottish Oceans Inst, Sea Mammal Res Unit, St Andrews KY16 8LB, Fife, Scotland./[Thomas, Len] Univ St Andrews, Ctr Res Ecol & Environm Modelling, St Andrews KY16 9LZ, Fife, Scotland.","Wensveen, PJ (reprint author), Univ St Andrews, Scottish Oceans Inst, Sea Mammal Res Unit, St Andrews KY16 8LB, Fife, Scotland.",10_1186_s40462_015_0061_6
"A pattern-oriented modelling approach to simulating populations of grey
partridge",8594,"Topping, Christopher John
Hoye, Toke Thomas
Odderskaer, Peter
Aebischer, Nicholas J.",ECOL MODEL,"PERDIX-PERDIX; DENSITY; LANDSCAPES; PREDATION; MORTALITY; ECOLOGY;
HABITAT; DECLINE","Agent-based model; Perdix perdix; ODdox; Sensitivity analysis; Parameter
fitting","A number of wildlife species including the grey partridge (Perdix perdix) have shown dramatic post-war population declines. Multiple drivers have been proposed as reasons for the declines, for example agrochemical use and intensification of agricultural practices, climate, predation, and changes in landscape structure. These drivers may interact in non-linear ways and are inherently spatio-temporal in nature. Therefore models used to investigate mechanisms should be spatio-temporal, of proper scale, and have a high degree of biological realism. Here we describe the development and testing of an agent-based model (ABM) of grey partridge using a well documented pre-decline historical data set in conjunction with a pattern-oriented modelling (POM) approach. Model development was an iterative process of defining performance criteria, testing model behaviour, and reformulating as necessary to emulate system properties whilst ensuring that internal mechanisms were biologically realistic. The model was documented using ODdox, a new protocol for describing large agent-based models. Parameter fitting in the model was achieved to within +/- 2% accuracy for 15 out of 17 field data patterns used, and within 5% for the remaining two. Tests of interactions between input parameters showed that 62% of parameter pairs tested had significant interactions underlining the complex nature of the model structure. Sensitivity analysis identified chick mortality as being the most sensitive factor, followed by adult losses to hunting and adult overwinter mortality, agreeing in general with previous partridge models. However, the ABM used here could separate individual drivers, providing a better understanding of the underlying mechanisms behind population regulation, and allowing factors to be compared directly. The ABM used is rich in output signals allowing detailed testing and refinement of the model. This approach is particularly suited to systems such as the partridge system where data for comparison to model outputs is readily available. Despite the accurate fit between historical data and model output, making use of the predictive power of the approach the model requires further calibration and testing under modern field conditions. (C) 2009 Elsevier B.V. All rights reserved.",ELSEVIER SCIENCE BV,MAR 10,2010,101016jecolmodel200911004,"[Topping, Christopher John; Hoye, Toke Thomas; Odderskaer, Peter] Aarhus Univ, Natl Environm Res Inst, Dept Wildlife Ecol & Biodivers, DK-8410 Ronde, Denmark./[Aebischer, Nicholas J.] Game & Wildlife Conservat Trust, Fordingbridge, Hants, England.","Topping, CJ (reprint author), Aarhus Univ, Natl Environm Res Inst, Dept Wildlife Ecol & Biodivers, Grenavej 14, DK-8410 Ronde, Denmark.",NA
A periodic Markov model to formalize animal migration on a network,686,"Koelzsch, Andrea
Kleyheeg, Erik
Kruckenberg, Helmut
Kaatz, Michael
Blasius, Bernd",ROY SOC OPEN SCI,"BIRD MIGRATION; TRANSPORTATION NETWORK; MARINE BIOINVASION; GEESE;
CONNECTIVITY; CENTRALITY; EPIDEMICS; WORLD; RISK","spatial migration network; graph theory; periodic Markov process; white
stork; greater white-fronted goose","Regular, long-distance migrations of thousands of animal species have consequences for the ecosystems that they visit, modifying trophic interactions and transporting many non-pathogenic and pathogenic organisms. The spatial structure and dynamic properties of animal migrations and population flyways largely determine those trophic and transport effects, but are yet poorly studied. As a basis, we propose a periodic Markov model on the spatial migration network of breeding, stopover and wintering sites to formally describe the process of animal migration on the population level. From seasonally changing transition rates we derived stable, seasonal densities of animals at the network nodes. We parametrized the model with high-quality GPS and satellite telemetry tracks of white storks (Ciconia ciconia) and greater white-fronted geese (Anser a. albifrons). Topological and network flow properties of the two derived networks conform to migration properties like seasonally changing connectivity and shared, directed movement. Thus, the model realistically describes the migration movement of complete populations and can become an important tool to study the effects of climate and habitat change and pathogen spread on migratory animals. Furthermore, the property of periodically changing transition rates makes it a new type of complex model and we need to understand its dynamic properties.",ROYAL SOC,JUN,2018,101098rsos180438,"[Koelzsch, Andrea; Kleyheeg, Erik] Max Planck Inst Ornithol, Dept Migrat & Immunoecol, Obstberg 1, D-78315 Radolfzell am Bodensee, Germany./[Koelzsch, Andrea; Blasius, Bernd] Carl von Ossietzky Univ Oldenburg, Grp Math Modelling, Inst Chem & Biol Marine Environm, Carl von Ossietzky Str 9-11, D-26111 Oldenburg, Germany./[Koelzsch, Andrea; Kruckenberg, Helmut] Inst Wetlands & Waterbird Res eV IWWR, Steigbugel 3, D-27283 Verden, Aller, Germany./[Kaatz, Michael] Vogelschutzwarte Storchenhof Loburg eV, Chausseestr 18, D-39279 Loburg, Germany.","Kolzsch, A (reprint author), Max Planck Inst Ornithol, Dept Migrat & Immunoecol, Obstberg 1, D-78315 Radolfzell am Bodensee, Germany.; Kolzsch, A (reprint author), Carl von Ossietzky Univ Oldenburg, Grp Math Modelling, Inst Chem & Biol Marine Environm, Carl von Ossietzky Str 9-11, D-26111 Oldenburg, Germany.; Kolzsch, A (reprint author), Inst Wetlands & Waterbird Res eV IWWR, Steigbugel 3, D-27283 Verden, Aller, Germany.",NA
"A phylogenetic perspective on foraging mode evolution and habitat use in
West Indian Anolis lizards",9705,"Johnson, Michele A.
Leal, Manuel
Schettino, Lourdes Rodriguez
Lara, Ada Chamizo
Revell, Liam J.
Losos, Jonathan B.",ANIM BEHAV,"SIT-AND-WAIT; SEARCH TACTICS; BEHAVIORAL SYNDROMES; ISLAND LIZARDS;
DESERT LIZARDS; ECOLOGY; MORPHOLOGY; PREDATION; MAINLAND; BIRDS","Anolis lizard; comparative method; ecomorphology; foraging mode; habitat
use; movement rate","Although many descriptive studies of foraging mode have been performed, the factors that underlie the evolution of foraging mode remain poorly understood. To test the hypothesis that foraging mode evolution is affected by habitat use, we analysed two data sets including 31 species of West Indian Anolis lizards. In this genus, the same suite of habitat specialists (or ecomorphs) has evolved on four islands, providing the replication necessary to evaluate the generality of the relationship between foraging mode and habitat use. Using habitat and behavioural data, we conducted phylogenetic comparative analyses to determine whether species of the same ecomorph have evolved similar foraging behaviour and whether differences in foraging mode are associated with differences in habitat use. We found that Anolis species show substantial variation in foraging behaviour, including differences in movement and eating rates. Furthermore, variation among ecomorphs indicates that foraging behaviour is related to habitat use, although the specific environmental factors driving foraging divergence are unclear. Our results show that foraging mode is an evolutionarily labile trait that is influenced by evolution of habitat use. (C) 2007 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,FEB,2008,101016janbehav200706012,"[Johnson, Michele A.] Washington Univ, Dept Biol, St Louis, MO 63130 USA./[Leal, Manuel] Duke Univ, Dept Biol, Durham, NC USA./[Schettino, Lourdes Rodriguez; Lara, Ada Chamizo] CITMA, Inst Ecol & Sistemat, Havana, Cuba./[Revell, Liam J.; Losos, Jonathan B.] Harvard Univ, Museum Comparat Zool, Cambridge, MA 02138 USA./[Revell, Liam J.; Losos, Jonathan B.] Harvard Univ, Dept Organism & Evolutionary Biol, Cambridge, MA 02138 USA.","Johnson, MA (reprint author), Michigan State Univ, Dept Zool, 203 Nat Sci Bldg, E Lansing, MI 48824 USA.",NA
"A pilot study into the use of global navigation satellite system
technology to quantify the behavioural responses of sheep during
simulated dog predation events",5788,"Manning, Jaime K.
Fogarty, Eloise S.
Trotter, Mark G.
Schneider, Derek A.
Thomson, Peter C.
Bush, Russell D.
Cronin, Greg M.",ANIM PROD SCI,FEEDING-BEHAVIOR; AUSTRALIA; DINGOES; COYOTE; RISK; FEAR,behaviour; dog attack; global positioning system; remote monitoring,"The predation of sheep (Ovis aries) by wild and domestic dogs (Canis lupis) is a major issue in Australia, causing serious welfare issues to inflicted animals. The estimated cost of sheep and cattle production losses caused by wild dogs when combined with an extensive range of control measures, costs the Australian economy AU$66 million annually. Spatio-temporal data derived from global navigation satellite system (GNSS) devices were used to quantify the behavioural responses of two flocks of 15 Merino ewes ranging from 2 to 8 years old (average 4.5 years) during simulated dog predation events. Each sheep was fitted with a GNSS collar, and the behavioural responses of the sheep were video recorded during six trials (three per flock). The behavioural data collated from video recordings were then compared with the movement metrics derived from the GNSS collars. Derived metrics include the spatial distribution of flock members, speed of animal movement and specific behavioural changes including centripetal rotation (circling behaviour of the flock, with individual sheep seeking the centre). While the spatial distribution data did not appear to be specific enough to enable identification of a predation event, the velocity of sheep was higher (P < 0.001) during compared with before and after a simulated dog predation event. Centripetal rotation occurred in 80% of the simulated predation events during this study, and may provide a means for identifying predation. The spatio-temporal data from GNSS devices have potential as a research tool to assist in understanding sheep movement patterns during a dog attack. While further research and mathematical modelling of predation events is clearly required, the application of remote sensing technology has the potential to improve future livestock monitoring.",CSIRO PUBLISHING,NA,2014,101071AN14221,"[Manning, Jaime K.; Fogarty, Eloise S.; Thomson, Peter C.; Bush, Russell D.; Cronin, Greg M.] Univ Sydney, Fac Vet Sci, Camden, NSW 2570, Australia./[Trotter, Mark G.; Schneider, Derek A.] Univ New England, Precis Agr Res Grp, Armidale, NSW 2351, Australia./[Trotter, Mark G.; Schneider, Derek A.] Univ New England, CRC Spatial Informat, Armidale, NSW 2351, Australia.","Manning, JK (reprint author), Univ Sydney, Fac Vet Sci, Camden, NSW 2570, Australia.",10_1071_AN14221
"A pioneer validation of a state-space model of vessel trajectories (VMS)
with observers' data",8391,"Walker, E.
Bez, N.",ECOL MODEL,"MONITORING-SYSTEM DATA; MARINE PREDATOR; ANIMAL MOVEMENT; FISHING
EFFORT; BEHAVIOR; LANDSCAPE; FISHERY; HABITAT; SEARCH; PARAMETERS","State-space model; Trajectory; Vessel Monitoring Systems (VMS); Markov;
Bayes; Validation; Tropical tuna purse-seiners; Observers' data","In the context of the expansion of animal tracking and bio-logging, state-space models have been developed with the objective to characterise animals' trajectories and to understand the factors controlling their behaviour. In the fisheries community, the electronic tagging of vessels commonly designated by Vessel Monitoring Systems (VMS) is developing and provides a new insight for the understanding, the analysis and the modelling of the trajectories of vessels and their prospecting behaviour. VMS data are thus a clue for the proper definition of fishing effort which remains a fundamental parameter of tuna stock assessments. In this context, we used the VMS (recording of hourly positions) of the French tropical tuna purse-seiners operating in the Indian Ocean to characterise three types of movement (states) on the VMS trajectories (stillness, tracking, and cruising). Based on empirical evidences, and on the regular frequency of VMS acquisition, this was achieved by the development of a Bayesian Hidden Markov model for the speeds and turning angles derived from the hourly steps of the trajectories. In a second phase, states were related to activities disentangling stillness into fishing or stop at sea. Finally the quality of the model performances was rigorously quantified thanks to observers' data. Confronting model prediction and true activities allowed estimating that 10% of the hourly steps were misclassified. The assumptions and model' choices are discussed, highlighting the fact that VMS data and observers' data having different time resolutions, the effective use of validating data was troublesome. However, without validation, these analyses remain speculative. The validation part of this work represents an important step for the operational use of state-space models in ecology in the broad sense (predators' tracking data, e.g. birds or mammals trajectories). (C) 2010 Elsevier B.V. All rights reserved.",ELSEVIER SCIENCE BV,AUG 24,2010,101016jecolmodel201005007,"[Walker, E.; Bez, N.] IRD, UMR EME 212, F-34203 Sete, France./[Walker, E.] CLS, F-31520 Ramonville St Agne, France.","Walker, E (reprint author), IRD, UMR EME 212, Ave Jean Monnet,BP 171, F-34203 Sete, France.",NA
